,review,label,count,review_nostop,nostop_count
488,then i exchanged for the same phone even that had the same problem,0,13,exchanged phone even problem,4
489,this results in the phone being either stuck at max volume or mute,0,13,results phone either stuck max volume mute,7
490,this pda rocks,1,3,pda rocks,2
491,it is super charged up for use as a small hybrid palmtopcameracellphone and excels in those roles,1,17,super charged use small hybrid palmtopcameracellphone excels roles,8
492,i would definitely recommend the jabra btv for those who are looking for comfort clarity and a great price,1,19,would definitely recommend jabra btv looking comfort clarity great price,10
493,i had verizon  years ago and really liked their service,1,10,verizon years ago really liked service,6
494,pretty piece of junk,0,4,pretty piece junk,3
495,plug was the wrong size,0,5,plug wrong size,3
496,works as described,1,3,works described,2
497,save your money ive had this item for  months now,0,10,save money ive item months,5
498,bad purchase,0,2,bad purchase,2
499,well im satisfied,1,3,well im satisfied,3
500,the bose noise cancelling is amazing which is very important for a nyc commuter,1,14,bose noise cancelling amazing important nyc commuter,7
501,this battery is an excellent bargain,1,6,battery excellent bargain,3
502,defective crap,0,2,defective crap,2
503,i would have given no star if i was able,0,10,would given star able,4
504,i wear glasses and it fits fine with them,1,9,wear glasses fits fine,4
505,the sound quality for the device is unacceptableunless you are in a really quiet area you almost hear nothing,0,19,sound quality device unacceptableunless really quiet area almost hear nothing,10
506,i would not recommend this item to anyone,0,8,would recommend item anyone,4
507,the holster that arrived did not match the photo in the ad,0,12,holster arrived match photo ad,5
508,greatno problems at all,1,4,greatno problems,2
509,as an earlier review noted plug in this charger and nothing happens,0,12,earlier review noted plug charger nothing happens,7
510,this frog phone charm is adorable and very eye catching,1,10,frog phone charm adorable eye catching,6
511,you never know if you pushed it hard enough or the right number of times for the function you want or not,0,22,never know pushed hard enough right number times function want,10
512,the sound is clear and the people i talk to on it are amazed at the quality too,1,18,sound clear people talk amazed quality,6
513,i got the aluminum case for my new palm vx and it worked really wellit has protected my handheld perfectly so far,1,22,got aluminum case new palm vx worked really wellit protected handheld perfectly far,13
514,very good product well made,1,5,good product well made,4
515,mobile phone tools are a must have,1,7,mobile phone tools must,4
516,i am very impressed with the job that motorola did on the sturdiness of this phone,1,16,impressed job motorola sturdiness phone,5
517,i received my orders well within the shipping timeframe everything was in good working order and overall i am very excited to have this source,1,25,received orders well within shipping timeframe everything good working order overall excited source,13
518,the phone is sturdy and waterproof,1,6,phone sturdy waterproof,3
519,i am not impressed with this and i would not recommend this item to anyone,0,15,impressed would recommend item anyone,5
520,my only complaint is the standard sound volume is a little low even when turned up to of ,0,18,complaint standard sound volume little low even turned,8
521,thanks again to amazon for having the things i need for a good price,1,14,thanks amazon things need good price,6
522,i ended up sliding it on the edge of my pants or back pockets instead,1,15,ended sliding edge pants back pockets instead,7
523,i had to go to a store and bought a new nokia phone which is working great,1,17,go store bought new nokia phone working great,8
524,works great,1,2,works great,2
525,really ugly,0,2,really ugly,2
526,horrible had to switch  times,0,5,horrible switch times,3
527,the noise shield is incrediable,1,5,noise shield incrediable,3
528,no real improvement,0,3,real improvement,2
529,razr battery  good buy,1,4,razr battery good buy,4
530,keep up the good work amazon,1,6,keep good work amazon,4
531,they refuse to refund or replace,0,6,refuse refund replace,3
532,unfortunately its easy to accidentally activate them with the gentletouch buttons if you accidentally touch the phone to your face while listening,0,22,unfortunately easy accidentally activate gentletouch buttons accidentally touch phone face listening,11
533,so i basically threw my money out the window for nothing,0,11,basically threw money window nothing,5
534,great case and price,1,4,great case price,3
535,all it took was one drop from about  inches above the kitchen counter and it was crackedi am not impressed and i am not laughing,0,25,took one drop inches kitchen counter crackedi impressed laughing,9
536,bluetooth range is good  a few days ago i left my phone in the trunk got a call and carried the conversation without a hitch,1,25,bluetooth range good days ago left phone trunk got call carried conversation without hitch,14
537,small sleek impressive looking practical setup with ample storage in place,1,11,small sleek impressive looking practical setup ample storage place,9
538,the eargels channel the sound directly into your ear and seem to increase the sound volume and clarity,1,18,eargels channel sound directly ear seem increase sound volume clarity,10
539,none of the new ones have ever quite worked properly,0,10,none new ones ever quite worked properly,7
540,i am glad i purchased it,1,6,glad purchased,2
541,ive missed numerous calls because of this reason,0,8,ive missed numerous calls reason,5
542,perhaps my phone is defective but people cannot hear me when i use this,0,14,perhaps phone defective people cannot hear use,7
543,dont buy this product,0,4,dont buy product,3
544,sucked most of the stuff does not work with my phone,0,11,sucked stuff work phone,4
545,no shifting no bubbling no peeling not even a scratch nothingi couldnt be more happier with my new one for the droid,1,22,shifting bubbling peeling even scratch nothingi couldnt happier new one droid,11
546,worst software ever used if i could give this zero stars i would,0,13,worst software ever used could give zero stars would,9
547,trying to make a call on these is an exercise in frustration,0,12,trying make call exercise frustration,5
548,the case is a flimsy piece of plastic and has no front or side protection whatsoever,0,16,case flimsy piece plastic front side protection whatsoever,8
549,i own a jabra earset and was very happy with it but the sound quality especially outgoing on this is better,1,21,jabra earset happy sound quality especially outgoing better,8
550,i love the camera its really pretty good quality,1,9,love camera really pretty good quality,6
551,thank you for such great service,1,6,thank great service,3
552,its a total package,1,4,total package,2
553,the seller is very understanding and patient i would definitely buy from them again,1,14,seller understanding patient would definitely buy,6
554,i give wirefly  stari will contact cingularatt and inform them of this practice,0,13,give wirefly stari contact cingularatt inform practice,7
555,its aggravating,0,2,aggravating,1
556,great product for the price,1,5,great product price,3
557,i have purchased these for both family and friends and all enjoy their clarity and ease of use,1,18,purchased family friends enjoy clarity ease use,7
558,virgin wireless rocks and so does this cheap little phone,1,10,virgin wireless rocks cheap little phone,6
559,none of it works just dont buy it,0,8,none works dont buy,4
560,muddy low quality sound and the casing around the wires insert was poorly super glued and slid off,0,18,muddy low quality sound casing around wires insert poorly super glued slid,12
561,please dont waste your money,0,5,please dont waste money,4
562,all in all im quite satisfied with this purchase,1,9,im quite satisfied purchase,4
563,if you are looking for a good quality motorola headset keep looking this isnt it,0,15,looking good quality motorola headset keep looking isnt,8
564,yet plantronincs continues to use the same flawed charger design,0,10,yet plantronincs continues use flawed charger design,7
565,disapointing results,0,2,disapointing results,2
566,cumbersome design,0,2,cumbersome design,2
567,great it was new packaged nice works good no problems and it came in less time then i expected,1,19,great new packaged nice works good problems came less time expected,11
568,great product,1,2,great product,2
569,its a piece of crap,0,5,piece crap,2
570,my experience was terrible this was my fourth bluetooth headset and while it was much more comfortable than my last jabra which i hated,0,24,experience terrible fourth bluetooth headset much comfortable last jabra hated,10
571,this fixes all the problems,1,5,fixes problems,2
572,worst ever,0,2,worst ever,2
573,i am very happy,1,4,happy,1
574,ive had no trouble accessing the internet downloading ringtones or performing any of the functions,1,15,ive trouble accessing internet downloading ringtones performing functions,8
575,i can barely ever hear on it and am constantly saying what,0,12,barely ever hear constantly saying,5
576,the battery life is highly unacceptable,0,6,battery life highly unacceptable,4
577,that company is a joke,0,5,company joke,2
578,it does everything the description said it would,1,8,everything description said would,4
579,due to this happening on every call i was forced to stop using this headset,0,15,due happening every call forced stop using headset,8
580,it works great with a car charger especially if you cannot plug in two adapters at the same time,1,19,works great car charger especially cannot plug two adapters time,10
581,verizon tech support walked my through a few procedures none of which worked and i ended up having to do a hard reset wiping out all my data,0,28,verizon tech support walked procedures none worked ended hard reset wiping data,12
582,voice quality signal strength dropped calls,0,6,voice quality signal strength dropped calls,6
583,it plays louder than any other speaker of this size the price is so low that most would think the quality is lacking however its not,1,26,plays louder speaker size price low would think quality lacking however,11
584,better than expected,1,3,better expected,2
585,it feels poorly constructed the menus are difficult to navigate and the buttons are so recessed that it is difficult to push them,0,23,feels poorly constructed menus difficult navigate buttons recessed difficult push,10
586,battery is holding up well,1,5,battery holding well,3
587,also difficult to put onid recommend avoiding this product,0,9,also difficult put onid recommend avoiding product,7
588,i only used it two days and it wasnt always easy to hear with,0,14,used two days wasnt always easy hear,7
589,i got the car charger and not even after a week the charger was brokeni went to plug it in and it started smoking,0,24,got car charger even week charger brokeni went plug started smoking,11
590,sprint  terrible customer service,0,4,sprint terrible customer service,4
591,linked to my phone without effort,1,6,linked phone without effort,4
592,they are so cool,1,4,cool,1
593,easy to use,1,3,easy use,2
594,better than new,1,3,better new,2
595,what possesed me to get this junk i have no idea,0,11,possesed get junk idea,4
596,piece of trash,0,3,piece trash,2
597,a pretty good product,1,4,pretty good product,3
598,this is a great phone,1,5,great phone,2
599,for the price on amazon it is an excellent product which i would highly recommend,1,15,price amazon excellent product would highly recommend,7
600,their research and development division obviously knows what theyre doing,1,10,research development division obviously knows theyre,6
601,the real killer is the volume and of course it breaking,0,11,real killer volume course breaking,5
602,those phones are working just fine now,1,7,phones working fine,3
603,i am more than happy with this product,1,8,happy product,2
604,poor construction,0,2,poor construction,2
605,this is infuriating,0,3,infuriating,1
606,overall i would recommend this phone over the new walkman,1,10,overall would recommend phone new walkman,6
607,sprint charges for this service,0,5,sprint charges service,3
608,it is cheap and it feel and look just as cheap,0,11,cheap feel look cheap,4
609,it fits my ear well and is comfortable on,1,9,fits ear well comfortable,4
610,it doesnt work in europe or asia,0,7,doesnt work europe asia,4
611,clipping this to your belt will deffinitely make you feel like  cents upandcoming,1,13,clipping belt deffinitely make feel like cents upandcoming,8
612,i like design and look of jabra behing the ear headsets and  is pretty comfortible to wear  hours a day without pain in the ear,1,25,like design look jabra behing ear headsets pretty comfortible wear hours day without pain ear,15
613,i was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price,1,23,amazed quick arrival two original lg cell phone batteries fraction price,11
614,the worst phone from samsungcrap this crappy samsung e is the worst i have ever seeen,0,16,worst phone samsungcrap crappy samsung e worst ever seeen,9
615,the charger worked for about a week and then completely stopped charging my phone,0,14,charger worked week completely stopped charging phone,7
616,poor product,0,2,poor product,2
617,however i needed some better instructions,0,6,however needed better instructions,4
618,you need two hands to operate the screenthis software interface is decade old and cannot compete with new software designs,0,20,need two hands operate screenthis software interface decade old cannot compete new software designs,14
619,worked very well paired with a treo w and as a skype headset on my pc using a usb bluetooth transceiver,1,21,worked well paired treo w skype headset pc using usb bluetooth transceiver,12
620,steer clear of this product and go with the genuine palm replacementr pens which come in a threepack,0,18,steer clear product go genuine palm replacementr pens come threepack,10
621,do not buy do not buyit sucks,0,7,buy buyit sucks,3
622,this is a great product sure beats using your fingers,1,10,great product sure beats using fingers,6
623,plus i seriously do not believe it is worth its steep price point,0,13,plus seriously believe worth steep price point,7
624,all the other cases ive tried normally fall apart after a few months but this one seems to be in for the long haul,1,24,cases ive tried normally fall apart months one seems long haul,11
625,very dissapointing performance,0,3,dissapointing performance,2
626,dont make the same mistake that i did and please dont buy this phone,0,14,dont make mistake please dont buy phone,7
627,this phone might well be the worst ive ever had in any brand,0,13,phone might well worst ive ever brand,7
628,case was more or less an extra that i originally put on but later discarded because it scratched my ear,0,20,case less extra originally put later discarded scratched ear,9
629,i recommend igo to anyone with different brand cell phonesmp players in the family,1,14,recommend igo anyone different brand cell phonesmp players family,9
630,dont bother  go to the store,0,6,dont bother go store,4
631,i posted more detailed comments under the grey or black phone but i have the fire red and its a great color,1,22,posted detailed comments grey black phone fire red great color,10
632,i did not have any problem with this item and would order it again if needed,1,16,problem item would order needed,5
633,you get what you pay for i guess,0,8,get pay guess,3
634,not only did the software do a great job of this i could also make my own ringtones form my existing cds without an internet connection,1,26,software great job could also make ringtones form existing cds without internet connection,13
635,im surprised this is a good quality car charger and theres not much reviews about it,1,16,im surprised good quality car charger theres much reviews,9
636,these are fabulous,1,3,fabulous,1
637,however bt headsets are currently not good for real time games like firstperson shooters since the audio delay messes me up,0,21,however bt headsets currently good real time games like firstperson shooters since audio delay messes,15
638,i used bitpim a free program you can find on the internetto transfer data to the phonethe price of the cable was excellent,1,23,used bitpim free program find internetto transfer data phonethe price cable excellent,12
639,disappointing accessory from a good manufacturer,0,6,disappointing accessory good manufacturer,4
640,performed awful  muffled tinny incoming sound and severe echo for those on the other end of the call,0,18,performed awful muffled tinny incoming sound severe echo end call,10
641,very windresistant,1,2,windresistant,1
642,obviously they have a terrible customer service so you get what you pay for,0,14,obviously terrible customer service get pay,6
643,they do not last forever but is not overly expensive to replaceeasy to operate and the sound is much better than others i have tried,1,25,last forever overly expensive replaceeasy operate sound much better others tried,11
644,i contacted the company and they told me that although the unit was still under warranty if i couldnt produce my receipt i was out of luck,0,27,contacted company told although unit still warranty couldnt produce receipt luck,11
645,linksys should have some way to exchange a bad phone for a refurb unit or something,0,16,linksys way exchange bad phone refurb unit something,8
646,phone is sturdy as all nokia bar phones are,1,9,phone sturdy nokia bar phones,5
647,great phone,1,2,great phone,2
648,when i placed my treo into the case not only was it not snug but there was a lot of extra room on the sides,0,25,placed treo case snug lot extra room sides,8
649,im pleased,1,2,im pleased,2
650,battery is terrible,0,3,battery terrible,2
651,i found the product to be easy to set up and use,1,12,found product easy set use,5
652,the earpiece on this is too large or too heavyit keeps falling out of my ear,0,16,earpiece large heavyit keeps falling ear,6
653,utter crap sound quality is terrible,0,6,utter crap sound quality terrible,5
654,the charger arrived within the promised timeframe but it did not work,0,12,charger arrived within promised timeframe work,6
655,no ear loop needed its tiny and the sound is great,1,11,ear loop needed tiny sound great,6
656,finally after three or four times the spring of the latch broke and i could not use it any longer on the visor,0,23,finally three four times spring latch broke could use longer visor,11
657,the handsfree part works fine but then the car tries to download the address book and the treo rebootsoverall i still rate this device high,1,25,handsfree part works fine car tries download address book treo rebootsoverall still rate device high,15
658,talk about useless customer service,0,5,talk useless customer service,4
659,it felt too light and tinny,0,6,felt light tinny,3
660,this does not fit the palm tungsten e and it broke the first time i tried to plug it in,0,20,fit palm tungsten e broke first time tried plug,9
661,im happy about this purchase good quality and low price,1,10,im happy purchase good quality low price,7
662,i love the look and feel of samsung flipphones,1,9,love look feel samsung flipphones,5
663,its welldesigned and very sharp  the blue is a very nice color,1,12,welldesigned sharp blue nice color,5
664,does everything it should and more,1,6,everything,1
665,i could not recommend these more,0,6,could recommend,2
666,nice sound,1,2,nice sound,2
667,looks good in the picture but this case was a huge disappointment,0,12,looks good picture case huge disappointment,6
668,much less than the jawbone i was going to replace it with,1,12,much less jawbone going replace,5
669,setup went very smoothly,1,4,setup went smoothly,3
670,its extremely slow and takes forever to do anything with it,0,11,extremely slow takes forever anything,5
671,a must study for anyone interested in the worst sins of industrial design,0,13,must study anyone interested worst sins industrial design,8
672,the first thing that happened was that the tracking was off,0,11,first thing happened tracking,4
673,it is well made easy to access the phone and has a handy detachable belt clip,1,16,well made easy access phone handy detachable belt clip,9
674,then i had to continue pairing it periodically since it somehow kept dropping,0,13,continue pairing periodically since somehow kept dropping,7
675,cant upload ringtones from a third party,0,7,cant upload ringtones third party,5
676,bluetooth does not work phone locks up screens just flash up and now it just makes calls randomly while in my pocket locked,0,23,bluetooth work phone locks screens flash makes calls randomly pocket locked,11
677,truly awful,0,2,truly awful,2
678,it works fine on my motorola  cellphone and a lot better than the wornout battery did,1,16,works fine motorola cellphone lot better wornout battery,8
679,the volume for the ringer is real good you have choices how loud,1,13,volume ringer real good choices loud,6
680,and none of the tones is acceptable,0,7,none tones acceptable,3
681,camera color balance is awful,0,5,camera color balance awful,4
682,this product is clearly not ready for prime time i dont care how cool it looks if you cant tell a call is coming in its worthless,0,27,product clearly ready prime time dont care cool looks cant tell call coming worthless,14
683,i love the ringtones because they are so upbeat,1,9,love ringtones upbeat,3
684,chinese forgeries abound,0,3,chinese forgeries abound,3
685,easy to pair with my samsung cell,1,7,easy pair samsung cell,4
686,the instructions didnt explain that a microphone jack could be used,0,11,instructions didnt explain microphone jack could used,7
687,i would advise to not purchase this item it never worked very well,0,13,would advise purchase item never worked well,7
688,too bad you have to pay up to  a month for the service,0,13,bad pay month service,4
689,works well,1,2,works well,2
690,the nokia ca usb cable did not work with my phone,0,11,nokia ca usb cable work phone,6
691,clear crisp sound,1,3,clear crisp sound,3
692,i have to use the smallest earpieces provided but it stays on pretty well,1,14,use smallest earpieces provided stays pretty well,7
693,the biggest complaint i have is the battery drains superfast,0,10,biggest complaint battery drains superfast,5
694,the design might be ergonomic in theory but i could not stand having these in my ear,0,17,design might ergonomic theory could stand ear,7
695,do not buy if you want to use the holster,0,10,buy want use holster,4
696,the phone can also take great pictures and even video clips,1,11,phone also take great pictures even video clips,8
697,it doesnt make you look cool,0,6,doesnt make look cool,4
698,because both ears are occupied background is not distracting at all,1,11,ears occupied background distracting,4
699,comfortable fit  you need your headset to be comfortable for at least an hour at a time if not for an entire day,1,23,comfortable fit need headset comfortable least hour time entire day,10
700,also the phone doesnt seem to accept anything except cbr mps preferably ripped by windows media player,0,17,also phone doesnt seem accept anything except cbr mps preferably ripped windows media player,14
701,you cant beat the price on these,1,7,cant beat price,3
702, comes with a strong light that you can use to light up your camera shots and even flash sos signals seriously,1,21,comes strong light use light camera shots even flash sos signals seriously,12
703,lightweight and works well,1,4,lightweight works well,3
704,so just beware,0,3,beware,1
705,i love this cable  it allows me to connect any miniusb device to my pc,1,15,love cable allows connect miniusb device pc,7
706,so anyone near you will hear part of your conversation,0,10,anyone near hear part conversation,5
707,this is cool because most cases are just open there allowing the screen to get all scratched up,1,18,cool cases open allowing screen get scratched,7
708,i bought this phone as a replacement for my startac and have regretted it since,0,15,bought phone replacement startac regretted since,6
709,appears to actually outperform the original battery from china that came with my vi,1,14,appears actually outperform original battery china came vi,8
710,cant store anything but phone numbers to sim,0,8,cant store anything phone numbers sim,6
711,it lasts less than o minutes if i actually try to use the phonemy wife has the same phone with the same problem,0,23,lasts less minutes actually try use phonemy wife phone problem,10
712,poor quality,0,2,poor quality,2
713,jabra ear gels r the best,1,6,jabra ear gels r best,5
714,not worth it,0,3,worth,1
715,the phone crashed completely and now i have to get it replaced,0,12,phone crashed completely get replaced,5
716,it quit working after id used it for about  months so i just purchased another one because this is the best headset ive ever owned,1,25,quit working id used months purchased another one best headset ive ever owned,13
717,unfortunately it will not recharge my iphone s despite connecting it from multiple power sources imac external battery wall outlet etc,0,21,unfortunately recharge iphone despite connecting multiple power sources imac external battery wall outlet etc,14
718,it was a great phone,1,5,great phone,2
719,if you simply want a small flip phone  look elsewhere as the extra bells  whistles are mediocre,0,17,simply want small flip phone look elsewhere extra bells whistles mediocre,11
720,good value works fine  power via usb car or wall outlet,1,11,good value works fine power via usb car wall outlet,10
721,my phone doesnt slide around my car now and the grip prevents my phone from slipping out of my hand,1,20,phone doesnt slide around car grip prevents phone slipping hand,10
722,this is simply the best bluetooth headset for sound quality,1,10,simply best bluetooth headset sound quality,6
723,think it over when you plan to own this onethis sure is the last moto phone for me,0,18,think plan onethis sure last moto phone,7
724,in the span of an hour i had two people exclaim whoa  is that the new phone on tv,1,19,span hour two people exclaim whoa new phone tv,9
725,i have always used corded headsets and the freedom from the wireless is very helpful,1,15,always used corded headsets freedom wireless helpful,7
726,this case has passed the one year mark and while it shows signs of wear it is  functional,1,18,case passed one year mark shows signs wear functional,9
727,other than that the leather is nice and soft the fit is very tight the cut out for the face is a good shape,1,24,leather nice soft fit tight cut face good shape,9
728,it has everything i need and i couldnt ask for more,1,11,everything need couldnt ask,4
729,after receiving and using the product for just  days it broke,0,11,receiving using product days broke,5
730,this product is great it makes working a lot easier i can go to the copier while waiting on hold for something,1,22,product great makes working lot easier go copier waiting hold something,11
731,none of the three sizes they sent with the headset would stay in my ears,0,15,none three sizes sent headset would stay ears,8
732,tmobile has the best customer service anywhere,1,7,tmobile best customer service anywhere,5
733,arrived quickly and much less expensive than others being sold,1,10,arrived quickly much less expensive others sold,7
734,we have tried  units and they both failed within  months pros,0,11,tried units failed within months pros,6
735,provides good protection and looks classy too,1,7,provides good protection looks classy,5
736,krussel always good,1,3,krussel always good,3
737,the tracfonewebsite is user friendly and makes it easy toactivate etc,1,11,tracfonewebsite user friendly makes easy toactivate etc,7
738,the design is very good,1,5,design good,2
739,i great reception all the time,1,6,great reception time,3
740,i would highly recommend this product,1,6,would highly recommend product,4
741,couldnt use the unit with sunglasses not good in texas,0,10,couldnt use unit sunglasses good texas,6
742,it dit not work most of the time with my nokia ,0,11,dit work time nokia,4
743,bought mainly for the charger which broke soon after purchasing,0,10,bought mainly charger broke soon purchasing,6
744,if you like a loud buzzing to override all your conversations then this phone is for you,0,17,like loud buzzing override conversations phone,6
745,fantastic buy and will get again for whatever my next phone is,1,12,fantastic buy get whatever next phone,6
746,stay away from this store be careful,0,7,stay away store careful,4
747,this blueant supertooth handsfree phone speaker is awesome,1,8,blueant supertooth handsfree phone speaker awesome,6
748,does not fit,0,3,fit,1
749, item arrived quickly and works great with my metro pcs samsung schr slider phone and sony premium sound in ear plugs,1,21,item arrived quickly works great metro pcs samsung schr slider phone sony premium sound ear plugs,16
750,it is light has plenty of battery capacity and is very confortable to wear for somewhat extended periods of time,1,20,light plenty battery capacity confortable wear somewhat extended periods time,10
751,disappointing,0,1,disappointing,1
752,blue ant is easy to use,1,6,blue ant easy use,4
753,cheap but hey it works was pleasantly suprised given the low cost of this item,1,15,cheap hey works pleasantly suprised given low cost item,9
754,the camera on the phone may be used as a dustpan when indoors id rather be using a disposable then this,0,21,camera phone may used dustpan indoors id rather using disposable,10
755,then a few days later the a puff of smoke came out of the phone while in use,0,18,days later puff smoke came phone use,7
756,its very convenient and simple to use  gets job done  makes the car ride so much smoother,1,17,convenient simple use gets job done makes car ride much smoother,11
757,the nano stated itmy son was dissapointed,0,7,nano stated itmy son dissapointed,5
758,the sound quality is excellent as well,1,7,sound quality excellent well,4
759,its the best headset i have used,1,7,best headset used,3
760,would not reccommend,0,3,would reccommend,2
761,they have been around for years and carries the highest quality of antiglare screen protector that i have found to date,1,21,around years carries highest quality antiglare screen protector found date,10
762,just what i wanted,1,4,wanted,1
763,this particular model would not work with my motorola q smartphone,0,11,particular model would work motorola q smartphone,7
764,wont work right or atleast for me,0,7,wont work right atleast,4
765,in addition it feels amp looks as if the phone is all lightweight cheap plastic,0,15,addition feels amp looks phone lightweight cheap plastic,8
766,but now that it is out of warranty the same problems reoccurebottom line put your money somewhere else cingular will not support it,0,23,warranty problems reoccurebottom line put money somewhere else cingular support,10
767,i really wanted the plantronics  to be the right one but it has too many issues for methe good,0,19,really wanted plantronics right one many issues methe good,9
768,great product,1,2,great product,2
769,crisp and clear,1,3,crisp clear,2
770,after the first charge kept going dead after  minutes,0,9,first charge kept going dead minutes,6
771,very cheap plastic creaks like an old wooden floor,0,9,cheap plastic creaks like old wooden floor,7
772,i get absolutely horrible reception in my apartment where with other phones i have not had this problem,0,18,get absolutely horrible reception apartment phones problem,7
773,the reception has been generally good,1,6,reception generally good,3
774,excellent sound battery life and inconspicuous to boot,1,8,excellent sound battery life inconspicuous boot,6
775,great bluetooth,1,2,great bluetooth,2
776,i highly recommend this case,1,5,highly recommend case,3
777,worthwhile,1,1,worthwhile,1
778,this is a great deal,1,5,great deal,2
779,after my phone got to be about a year old its been slowly breaking despite much care on my part,0,20,phone got year old slowly breaking despite much care part,10
780,i am sorry i made this purchase,0,7,sorry made purchase,3
781,i bought these hoping i could make my bluetooth headset fit better but these things made it impossible to wear,0,20,bought hoping could make bluetooth headset fit better things made impossible wear,12
782,treo and tmobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount,0,21,treo tmobile refused replace forced buy another phone without kind upgrade discount,12
783,it was horrible,0,3,horrible,1
784,i dont think it would hold it too securly on your belt,0,12,dont think would hold securly belt,6
785,this allows the possibility of double booking for the same date and time after the first,0,16,allows possibility double booking date time first,7
786,they work about  weeks then break,0,6,work weeks break,3
787,it is simple to use and i like it,1,9,simple use like,3
788,its a great tool for entertainment communication and data managementoh be sure to use activesync  for optimal data synchronization results,1,20,great tool entertainment communication data managementoh sure use activesync optimal data synchronization results,13
789,i cant use this case because the smell is disgusting,0,10,cant use case smell disgusting,5
790,not what i wanted,0,4,wanted,1
791,i own  of these cases and would order another,1,9,cases would order another,4
792,great phone,1,2,great phone,2
793,i bought this battery with a coupon from amazon and im very happy with my purchase,1,16,bought battery coupon amazon im happy purchase,7
794,the internet access was fine it the rare instance that it worked,0,12,internet access fine rare instance worked,6
795,perfect for the ps,1,4,perfect ps,2
796,five star plus plus,1,4,five star plus plus,4
797,a good quality bargain i bought this after i bought a cheapy from big lots that sounded awful and people on the other end couldnt hear me,1,27,good quality bargain bought bought cheapy big lots sounded awful people end couldnt hear,14
798, down the drain,0,3,drain,1
799,i tried talking real loud but shouting on the telephone gets old and i was still told it wasnt great,0,20,tried talking real loud shouting telephone gets old still told wasnt great,12
800,good  works fine,1,3,good works fine,3
801,for the price this was a great deal,1,8,price great deal,3
802,great price too,1,3,great price,2
803,if there is a wind it is completely useless,0,9,wind completely useless,3
804,yes its shiny on front side  and i love it,1,10,yes shiny front side love,5
805,does not work,0,3,work,1
806,at first i thought i was grtting a good deal at  until i plugged it into my phone vc razr,0,20,first thought grtting good deal plugged phone vc razr,9
807,the reception through this headset is excellent,1,7,reception headset excellent,3
808, thumbs up to this seller,1,5,thumbs seller,2
809,i have a verizon lg phone and they work well together good reception and range that exceeds  feet line of sight,1,21,verizon lg phone work well together good reception range exceeds feet line sight,13
810,improper description i had to return it,0,7,improper description return,3
811, it works   it is comfortable,1,5,works comfortable,2
812,battery chargelife is quite long,1,5,battery chargelife quite long,4
813,the jabra eargels fit my ears very well,1,8,jabra eargels fit ears well,5
814,battery has no life,0,4,battery life,2
815,i checked everywhere and there is no feature for it which is really disappointing,0,14,checked everywhere feature really disappointing,5
816,product is exactly as described,1,5,product exactly described,3
817,gets a signal when other verizon phones wont,1,8,gets signal verizon phones wont,5
818,doesnt do the job,0,4,doesnt job,2
819,i would recommend it,1,4,would recommend,2
820,plan on ordering from them again and again,1,8,plan ordering,2
821,that being said for a phone the camera is very nice many cool effects to play with and video is decent as well,1,23,said phone camera nice many cool effects play video decent well,11
822,i have been very satisfied with this cell phone from day one,1,12,satisfied cell phone day one,5
823,they keep getting better and better this is my third one and ive had numerous palms too,1,17,keep getting better better third one ive numerous palms,9
824,awkward to use and unreliable,0,5,awkward use unreliable,3
825,the shipping time was also very quick,1,7,shipping time also quick,4
826,not as good as i had hoped,0,7,good hoped,2
827,good case,1,2,good case,2
828,doesnt work,0,2,doesnt work,2
829,really good product,1,3,really good product,3
830,unfortunately it did not work,0,5,unfortunately work,2
831,all three broke within two months of use,0,8,three broke within two months use,6
832,dont buy it,0,3,dont buy,2
833,my father has the v and the battery is dying,0,10,father v battery dying,4
834,however the ear pads come off easily and after only one week i lost one,0,15,however ear pads come easily one week lost one,9
835,the calls drop the phone comes on and off at will the screen goes black and the worst of all it stops ringing intermittently,0,24,calls drop phone comes screen goes black worst stops ringing intermittently,11
836,horrible horrible protector,0,3,horrible horrible protector,3
837,i dont like this nokia either,0,6,dont like nokia either,4
838,reaching for the bottom row is uncomfortable and the send and end keys are not where i expect them to be,0,21,reaching bottom row uncomfortable send end keys expect,8
839,i have bought this nokia cell phone a few weeks ago and it was a nightmare,0,16,bought nokia cell phone weeks ago nightmare,7
840,it would take too long to describe how bad my customer service experience has been with amazon,0,17,would take long describe bad customer service experience amazon,9
841,the only very disappointing thing was there was no speakerphone,0,10,disappointing thing speakerphone,3
842,terrible my car will not accept this cassette,0,8,terrible car accept cassette,4
843,product is useless since it does not have enough charging current to charge the  cellphones i was planning to use it with,0,22,product useless since enough charging current charge cellphones planning use,10
844,its not what it says it is,0,7,says,1
845,stay away from the q,0,5,stay away q,3
846,used and dirty,0,3,used dirty,2
847,very unreliable service from tmobile ,0,5,unreliable service tmobile,3
848,not good enough for the price,0,6,good enough price,3
849,i bought two of them and neither will charge,0,9,bought two neither charge,4
850,it looks very nice,1,4,looks nice,2
851,this is an excellent tool especially when paired with your phones autoanswer,1,12,excellent tool especially paired phones autoanswer,6
852,i have read others reviews here but i havent had any problem with it,1,14,read others reviews havent problem,5
853,these products cover up the important light sensor above the ear outlet,0,12,products cover important light sensor ear outlet,7
854,comfortable in my hand,1,4,comfortable hand,2
855,just does not work,0,4,work,1
